Cities' Time-Zone
UTC−05:00 (EST)
UTC−08:00 (Pacific)
UTC−06:00 (Central)
UTC−6 (CST)
UTC−7 (MST (no DST))
UTC-5 (EST)
UTC−6 (CST)
UTC−8 (Pacific)
UTC−6 (Central)
UTC−8 (Pacific Time Zone)
UTC−6 (CST)
UTC−5 (Eastern (EST))
UTC−6 (CST)
UTC-5 (EST)
UTC−8 (Pacific Time Zone)
UTC−5 (EST)
UTC−5 (EST)
UTC−8 (PST)
UTC−7 (MST)
UTC−5 (EST)
UTC−5 (EST)
UTC−7 (MST)
UTC−5 (EST)
UTC−6 (CST)
UTC−08:00 (PST)
UTC−6 (CST)
UTC−6 (CST)
UTC−8 (PST)
UTC-5 (EST)
UTC−5 (EST)
UTC−6 (CST)
UTC−7 (MST)
UTC−7 (MST (no DST))
null
UTC−7 (MST (no DST))
UTC−8 (PST)
UTC−5 (EST)
UTC– 06:00 (CST)
UTC−7 (MST)
UTC−5 (Eastern (EST))
UTC−05:00 (EST)
UTC−06:00 (CST)
UTC−08:00 (Pacific)
UTC−5 (EST)
UTC−08:00 (Pacific)
UTC–6 (CST)
UTC−6 (CST)
UTC−6 (CST)
null
UTC−6 (CST)
UTC−6 (CST)
UTC−5 (EST)
UTC−8 (Pacific)
UTC−7 (MST)
UTC−8 (Pacific)
UTC−10 (Hawaiian (HST))
UTC−8 (Pacific)
UTC−8 (Pacific)
UTC−6 (CST)
UTC−5 (EST)
UTC−8 (Pacific)
UTC−8 (PST)
UTC−6 (CST)
UTC−6 (CST)
UTC−5 (EST)
UTC−5 (Eastern Standard Time)
UTC−5 (EST)
UTC-9 (AKST)
UTC−6 (CST)
UTC-6 (CST)
UTC−5 (Eastern (EST))
UTC−8 (Pacific)
UTC−5 (Eastern (EST))
UTC−5 (EST)
UTC−5 (EST)
UTC-8 (PST)
UTC−05:00 (EST)
UTC−5 (EST)
null
UTC−6 (CST)
UTC−6 (Central)
UTC−7 (MST (no DST))
UTC−05:00 (EST)
UTC−6 (CST)
null
UTC−8 (Pacific (PST))
UTC-7 (MST (no DST))
UTC-7 (MST (no DST))
UTC−5 (Eastern)
null
UTC−5 (EST)
UTC−5 (EST)
UTC-6 (CST)
UTC-6 (CST)
UTC−5 (EST)
UTC−8 (Pacific)
UTC−7 (MST)
UTC-5 (EST)
UTC−6 (CST)
UTC−8 (PST)
UTC-6 (CST)
UTC−8 (PST)
UTC−8 (Pacific)
null
UTC-8 (PST)
UTC−08:00 (Pacific)
UTC−6 (CST)
UTC−8 (Pacific)
UTC−5 (Eastern (EST))
UTC−8 (Pacific)
null
UTC−8 (Pacific)
UTC−8 (Pacific)
UTC−7 (Mountain)
UTC-5 (EST)
UTC−6 (CST)
UTC-5 (EST)
UTC−6 (CST)
UTC−6 (CST)
UTC-5 (Eastern (EST))
UTC-6 (CST)
UTC−6 (CST)
UTC-5 (EST)
UTC−5 (Eastern (EST))
UTC-6 (CST)
UTC−5 (EST)
UTC−5 (Eastern (EST))
UTC-6 (CST)
UTC−7 (MST (no DST))
UTC−6 (CST)
UTC−6 (CST)
UTC−05:00 (EST)
UTC−6 (CST)
UTC-6 (CST)
UTC−5 (EST)
UTC-5 (Eastern)
UTC-6 (CST)
UTC−8 (Pacific)
null
null
null
UTC-5 (EST)
UTC−5 (Eastern Time Zone)
UTC−5 (EST)
UTC−8 (PST)
UTC−8 (Pacific)
UTC−8 (Pacific)
UTC−8 (PST)
UTC-8 (Pacific)
UTC-8 (Pacific)
UTC−5 (Eastern (EST))
null
UTC-8 (PST)
UTC-8 (Pacific)
UTC-5 (EST)
UTC−6 (CST)
UTC−7 (MST)
UTC−6 (CST)
UTC-5 (EST)
UTC−8 (Pacific)
UTC-8 (Pacific)
UTC-7 (MST)
UTC−6 (CST)
UTC−8 (Pacific Time Zone)
UTC−8 (Pacific)
UTC−5 (Eastern)
null
UTC−6 (CST)
UTC−8 (PST)
UTC−5 (EST)
UTC−6 (CST)
UTC−8 (Pacific)
UTC−8 (Pacific)
UTC-6 (Central (CST))
null
UTC-6 (CST)
UTC−8 (PST)
UTC−6 (CST)
UTC−5 (EST)
UTC−5 (Eastern (EST))
UTC−8 (Pacific)
UTC-5 (Eastern)
UTC−6 (CST)
UTC-6 (CST)
UTC−5 (Eastern)
UTC−6 (CST)
